index,note,duration,tactus,joint
0, E4,1.48,0,0
1, A4,2.34,1,0
2, E5,3.12,0,0
3, E5,3.87,0,0
4, E5,4.51,0,0
5, E5,5.08,1,0
6, F5,5.12,0,0
7, E5,5.2,0,0
8, D5,5.87,0,0
9, E5,6.2,0,0
10, F5,6.56,0,0
11, A4,7.88,1,0
12, E5,8.6,0,0
13, E5,9.27,0,0
14, E5,9.93,0,0
15, E5,10.41,1,0
16, F5,10.45,0,0
17, E5,10.55,0,0
18, D5,11.13,0,0
19, E5,11.42,0,0
20, F5,11.79,0,0
21, A5,13.11,1,0
22, G5,13.9,0,0
23, F5,14.27,0,0
24, E5,14.64,0,0
25, D5,15.34,0,0
26, C5,16.04,1,0
27, B4,16.72,0,0
28, A4,17.09,0,0
29, B4,17.42,0,0
30, C5,18.1,0,0
31, B4,18.9,1,0
32, A4,21.39,0,0
33, B4,21.76,1,0
34, E4,23.98,0,0
35, A4,24.77,1,0
36, E5,25.5,0,0
37, E5,26.23,0,0
38, E5,26.94,0,0
39, E5,27.56,1,0
40, F5,27.61,0,0
41, E5,27.7,0,0
42, D5,28.34,0,0
43, E5,28.69,0,0
44, F5,29.05,0,0
45, A4,30.57,1,0
46, E5,31.32,0,0
47, E5,32.03,0,0
48, E5,32.75,0,0
49, E5,33.28,1,0
50, F5,33.45,0,0
51, E5,33.58,0,0
52, D5,34.28,0,0
53, E5,34.62,0,0
54, F5,35.01,0,0
55, A5,36.37,1,0
56, G5,37.17,0,0
57, F5,37.58,0,0
58, E5,37.94,0,0
59, D5,38.73,0,0
60, C5,39.49,1,0
61, B4,40.19,0,0
62, A4,40.51,0,0
63, B4,40.87,0,0
64, C5,41.64,0,0
65, B4,42.42,1,0
66, A4,45.1,0,0
67, A4,45.49,1,0
68, A4,48.31,1,0
69, G5,49.03,0,0
70, G5,49.79,0,0
71, G5,50.53,0,0
72, G5,51.06,1,0
73, G5,51.2,0,0
74, G5,51.32,0,0
75, F5,52.0,0,0
76, G5,52.38,0,0
77, A5,52.76,0,0
78, E5,53.54,0,0
79, F5,54.26,1,0
80, G5,55.29,0,0
81, A5,55.66,0,0
82, G5,56.02,0,0
83, F5,56.34,0,0
84, E5,56.65,0,0
85, D5,57.08,1,0
86, G4,59.59,1,0
87, F5,60.26,0,0
88, F5,61.0,0,0
89, F5,61.65,0,0
90, F5,62.3,1,0
91, G5,62.36,0,0
92, F5,62.43,0,0
93, E5,62.99,0,0
94, F5,63.36,0,0
95, G5,63.71,0,0
96, D5,64.42,0,0
97, E5,65.04,1,0
98, F5,66.03,0,0
99, G5,66.41,0,0
100, F5,66.73,0,0
101, E5,67.02,0,0
102, D5,67.42,0,0
103, C5,67.78,1,0
104, C5,69.81,0,0
105, B4,70.59,1,0
106, E5,71.2,0,0
107, E5,71.88,0,0
108, B4,72.6,0,0
109, C5,73.33,1,0
110, D5,73.71,0,0
