index,note,duration,tactus,joint
0, G5,1.55,0,0
1, G#5,4.54,0,2
2, G5,4.86,0,0
3, D5,5.15,0,0
4, F5,5.46,1,0
5, G5,5.74,0,0
6, B5,6.04,0,0
7, D5,6.39,0,0
8, F5,6.7,1,0
9, G5,9.33,0,2
10, G#5,9.59,0,0
11, G5,9.94,0,0
12, G#5,10.23,1,0
13, G5,10.59,0,0
14, F#5,10.87,0,0
15, B4,11.12,0,0
16, F5,11.51,1,0
17, G5,14.09,0,2
18, F#5,14.4,0,0
19, F5,14.71,0,0
20, E5,14.97,1,0
21, D#5,15.25,0,0
22, C#5,15.56,0,0
23, B4,15.83,0,0
24, C5,16.16,1,0
25, G5,20.62,1,3
26, G#5,23.21,0,2
27, G5,23.51,0,0
28, F5,23.78,0,0
29, D#5,24.07,1,0
30, F5,24.35,0,0
31, B5,24.65,0,0
32, D5,25.02,0,0
33, F5,25.25,1,0
34, G5,27.75,0,2
35, G#5,28.04,0,0
36, G5,28.37,0,0
37, G#5,28.65,1,0
38, G5,28.97,0,0
39, F#5,29.24,0,0
40, B4,29.5,0,0
41, F5,29.83,1,0
42, G5,32.38,0,2
43, F#5,32.65,0,0
44, F5,32.91,0,0
45, E5,33.2,1,0
46, D#5,33.48,0,0
47, C#5,33.78,0,0
48, A#4,34.05,0,0
49, C5,34.37,1,0
50, C6,38.99,1,3
51, C#6,40.29,0,1
52, C6,40.68,0,0
53, G5,40.95,0,0
54, A#5,41.24,1,0
55, G#5,42.42,1,0
56, C6,43.56,1,0
57, C#6,44.91,0,1
58, C6,45.23,0,0
59, G5,45.54,0,0
60, A#5,45.83,1,0
61, A5,46.92,1,0
62, A#5,48.08,1,0
63, C6,49.47,0,1
64, A#5,49.76,0,0
65, G5,50.05,0,0
66, F5,50.37,1,0
67, C6,51.48,1,0
68, B5,52.03,0,0
69, A#5,52.59,1,0
70, C5,53.5,0,0
71, D5,54.15,0,1
72, D#5,54.45,0,0
73, F5,54.7,0,0
74, G5,55.0,1,0
75, G5,56.62,0,1
76, G5,57.17,1,0
77, G#5,59.63,0,2
78, G5,59.93,0,0
79, D5,60.24,0,0
80, F5,60.49,1,0
81, G5,60.79,0,0
82, B5,61.08,0,0
83, D5,61.38,0,0
84, F5,61.67,1,0
85, G5,64.24,0,2
86, G#5,64.52,0,0
87, G5,64.82,0,0
88, G#5,65.1,1,0
89, G5,65.4,0,0
90, F#5,65.69,0,0
91, B4,65.99,0,0
92, F5,66.31,1,0
93, G5,68.74,0,2
94, F#5,69.03,0,0
95, F5,69.32,0,0
96, E5,69.6,1,0
97, D#5,69.9,0,0
98, C#5,70.17,0,0
99, B4,70.43,0,0
100, C5,70.72,1,0
