index,note,duration,tactus,joint
0, G5,2.11,0,0
1, G5,2.69,1,0
2, A5,3.23,0,0
3, G5,3.43,0,0
4, F#5,3.78,0,0
5, G5,4.37,1,0
6, D5,4.97,0,0
7, B5,5.6,0,0
8, B5,6.19,1,0
9, C6,6.77,0,0
10, B5,7.06,0,0
11, A5,7.34,0,0
12, B5,7.92,1,0
13, G5,8.48,0,0
14, A5,9.09,0,0
15, B5,9.62,1,0
16, C#6,10.55,0,0
17, D6,10.79,0,0
18, D6,11.35,1,0
19, C#6,12.02,0,0
20, B5,12.51,0,0
21, D6,12.8,0,0
22, D6,13.09,1,0
23, C6,14.15,0,0
24, B5,14.74,1,0
25, A5,16.55,1,0
26, B5,17.12,0,0
27, A5,17.42,0,0
28, G5,17.72,0,0
29, A5,18.27,1,0
30, G5,18.56,0,0
31, F#5,18.83,0,0
32, E5,19.44,0,0
33, F#5,19.7,0,0
34, G5,19.96,1,0
35, A5,20.81,0,0
36, G5,21.1,0,0
37, F#5,21.4,0,0
38, E5,21.65,1,0
39, A5,22.25,0,0
40, G5,22.8,0,0
41, F#5,23.38,1,0
42, D5,23.97,0,0
43, G5,24.55,0,0
44, A5,24.84,0,0
45, B5,25.12,1,0
46, C6,25.38,0,0
47, B5,25.68,0,0
48, A5,25.94,0,0
49, G5,26.6,0,0
50, F#5,26.75,0,0
51, G5,26.92,1,0
52, G5,29.65,0,1
53, G5,30.19,1,0
54, A5,30.8,0,0
55, G5,31.11,0,0
56, F#5,31.4,0,0
57, G5,31.96,1,0
58, D5,32.53,0,0
59, B5,33.12,0,0
60, B5,33.69,1,0
61, C6,34.26,0,0
62, B5,34.53,0,0
63, A5,34.8,0,0
64, B5,35.31,1,0
65, G5,35.98,0,0
66, A5,36.56,0,0
67, B5,37.08,1,0
68, C#6,37.96,0,0
69, D6,38.25,0,0
70, D6,38.83,1,0
71, C#6,39.41,0,0
72, B5,39.98,0,0
73, C#6,40.26,0,0
74, D6,40.55,1,0
75, C6,41.66,0,0
76, B5,42.24,1,0
77, A5,43.89,1,0
78, B5,44.46,0,0
79, A5,44.68,0,0
80, G5,45.03,0,0
81, A5,45.6,1,0
82, G5,45.89,0,0
83, F#5,46.22,0,0
84, E5,46.75,0,0
85, F#5,47.02,0,0
86, G5,47.33,1,0
87, A5,48.12,0,0
88, G5,48.42,0,0
89, F#5,48.7,0,0
90, E5,48.98,1,0
91, A5,49.51,0,0
92, G5,50.1,0,0
93, F#5,50.67,1,0
94, D5,51.22,0,0
95, G5,51.83,0,0
96, A5,52.11,0,0
97, B5,52.39,1,0
98, C6,52.66,0,0
99, B5,52.95,0,0
100, A5,53.21,0,0
101, G5,53.89,0,0
102, F#5,54.03,0,0
103, G5,54.22,1,0
104, D5,56.97,0,1
105, D5,57.56,1,0
106, E5,58.07,0,0
107, D5,58.36,0,0
108, C5,58.61,0,0
109, D5,59.21,1,0
110, G4,59.75,0,0
111, D5,60.42,0,0
112, D5,61.01,1,0
113, C5,62.05,0,0
114, B4,62.58,1,0
115, C5,63.14,0,0
116, B4,63.41,0,0
117, A4,63.71,0,0
118, B4,64.25,1,0
119, G4,64.83,0,0
120, G5,65.42,0,0
121, G5,65.98,1,0
122, A5,66.56,0,0
123, G5,66.84,0,0
124, F#5,67.14,0,0
125, G5,67.66,1,0
126, B5,68.75,0,0
127, B5,69.36,1,0
128, C6,70.49,0,0
129, B5,71.08,1,0
130, A5,71.65,0,0
131, G5,71.9,0,0
132, F#5,72.22,0,0
133, G5,72.75,1,0
134, A5,73.87,0,0
135, G5,74.45,1,0
136, F#5,75.5,0,0
137, G5,76.18,1,0
138, A5,77.23,0,0
139, A5,77.73,1,0
140, B5,78.89,0,0
141, B5,79.4,1,0
142, C6,80.5,0,0
143, D6,81.02,1,0
144, G5,81.59,0,0
145, F#5,82.48,0,0
146, E5,82.81,1,0
147, C6,83.34,0,0
148, A5,83.92,0,0
149, B5,84.42,1,0
150, A5,85.26,0,0
151, G5,85.52,0,0
152, A5,86.12,1,0
153, A5,86.75,0,0
154, G5,87.59,0,0
155, G5,87.89,1,0
156, D5,90.65,0,1
157, D5,91.21,1,0
158, E5,91.81,0,0
159, D5,92.07,0,0
160, C5,92.34,0,0
161, D5,92.88,1,0
162, G4,93.42,0,0
163, D5,94.08,0,0
164, D5,94.65,1,0
165, C5,95.74,0,0
166, B4,96.33,1,0
167, C5,96.87,0,0
168, B4,97.17,0,0
169, A4,97.45,0,0
170, B4,97.98,1,0
171, G4,98.59,0,0
172, G5,99.16,0,0
173, G5,99.68,1,0
174, A5,100.31,0,0
175, G5,100.59,0,0
176, F#5,100.89,0,0
177, G5,101.43,1,0
178, B5,102.49,0,0
179, B5,103.11,1,0
180, C6,104.31,0,0
181, B5,104.89,1,0
182, A5,105.46,0,0
183, G5,105.69,0,0
184, F#5,106.04,0,0
185, G5,106.56,1,0
186, A5,107.66,0,0
187, G5,108.26,1,0
188, F#5,109.27,0,0
189, G5,109.91,1,0
190, A5,111.05,0,0
191, A5,111.61,1,0
192, B5,112.66,0,0
193, B5,113.25,1,0
194, C6,114.31,0,0
195, D6,114.86,1,0
196, G5,115.4,0,0
197, F#5,116.23,0,0
198, E5,116.56,1,0
199, C6,117.05,0,0
200, A5,117.6,0,0
201, B5,118.15,1,0
202, A5,118.93,0,0
203, G5,119.22,0,0
204, A5,119.79,1,0
205, A5,120.38,0,0
206, G5,121.28,0,0
207, G5,121.54,1,0
