index, note, duration, tactus, joint
0, D#4,1.77,0,0
1, F4,2.24,0,0
2, G4,2.6,0,0
3, G#4,2.98,0,0
4, A#4,3.48,1,0
5, G#4,5.15,0,0
6, G4,5.54,0,0
7, F4,5.91,0,0
8, D#4,6.32,0,0
9, D4,6.83,1,0
10, D4,7.65,0,0
11, D#4,8.54,0,0
12, D4,8.96,0,0
13, C4,9.33,0,0
14, D4,9.72,0,0
15, D#4,10.2,1,0
16, F4,11.82,0,0
17, D#4,12.21,0,0
18, D4,12.61,0,0
19, D#4,13.0,0,0
20, F4,13.46,1,0
21, F4,15.1,0,0
22, G4,15.53,0,0
23, G#4,15.87,0,0
24, A#4,16.26,0,0
25, C5,16.76,1,0
26, A#4,18.38,0,0
27, G#4,18.85,0,0
28, G4,19.16,0,0
29, F4,19.54,0,0
30, A#4,20.02,1,0
31, A#4,20.89,0,0
32, G#4,21.74,0,0
33, G4,22.11,0,0
34, F4,22.44,0,0
35, D#4,22.82,0,0
36, A#4,23.38,1,0
37, A#4,24.14,0,0
38, G#4,25.02,0,0
39, G4,25.83,0,0
40, F4,26.74,1,0
41, D#4,28.48,0,0
42, F4,28.92,0,0
43, G4,29.33,0,0
44, G#4,29.65,0,0
45, A#4,30.11,1,0
46, G#4,31.64,0,0
47, G4,32.02,0,0
48, F4,32.35,0,0
49, D#4,32.72,0,0
50, D4,33.17,1,0
51, D4,34.0,0,0
52, D4,34.4,0,0
53, D#4,34.85,0,0
54, D4,35.2,0,0
55, C4,35.6,0,0
56, D4,35.99,0,0
57, D#4,36.48,1,0
58, D#4,39.83,0,1
59, D#4,40.29,0,0
60, D#4,40.69,0,0
61, D#4,41.08,0,0
62, D4,41.46,0,0
63, C4,41.91,0,0
64, D4,42.3,0,0
65, D#4,42.79,1,0
66, D#4,46.15,0,1
67, F4,46.61,0,0
68, G4,47.02,0,0
69, G#4,47.4,0,0
70, A#4,47.88,1,0
71, G#4,49.59,0,0
72, G4,49.97,0,0
73, F4,50.36,0,0
74, D#4,50.74,0,0
75, D4,51.25,1,0
76, D4,52.11,0,0
77, D#4,52.97,0,0
78, D4,53.36,0,0
79, C4,53.73,0,0
80, D4,54.1,0,0
81, D#4,54.55,1,0
82, F4,56.18,0,0
83, D#4,56.58,0,0
84, D4,56.92,0,0
85, D#4,57.36,0,0
86, F4,57.81,1,0
87, F4,59.51,0,0
88, G4,60.0,0,0
89, G#4,60.33,0,0
90, A#4,60.74,0,0
91, C5,61.21,1,0
92, A#4,62.83,0,0
93, G#4,63.24,0,0
94, G4,63.6,0,0
95, F4,63.98,0,0
96, A#4,64.43,1,0
97, A#4,65.3,0,0
98, G#4,66.2,0,0
99, G4,66.56,0,0
100, F4,66.91,0,0
101, D#4,67.29,0,0
102, A#4,67.74,1,0
103, A#4,68.58,0,0
104, G#4,69.45,0,0
105, G4,70.27,0,0
106, F4,71.21,1,0
107, D#4,72.93,0,0
108, F4,73.43,0,0
109, G4,73.82,0,0
110, G#4,74.15,0,0
111, A#4,74.63,1,0
112, G#4,76.34,0,0
113, G4,76.67,0,0
114, F4,77.03,0,0
115, D#4,77.4,0,0
116, D4,77.88,1,0
117, D4,78.73,0,0
118, D4,79.17,0,0
119, D#4,79.62,0,0
120, D4,79.97,0,0
121, C4,80.39,0,0
122, D4,80.78,0,0
123, D#4,81.28,1,0
124, D#4,84.6,0,1
125, D#4,85.01,0,0
126, D#4,85.43,0,0
127, D#4,85.85,0,0
128, D4,86.28,0,0
129, C4,86.74,0,0
130, D4,87.24,0,0
131, D#4,87.93,1,0
