index,note,duration,tactus,joint
0, G4,1.14,0,0
1, F#4,1.54,0,0
2, F4,1.99,0,0
3, E4,2.39,1,0
4, D5,3.84,0,0
5, C5,4.26,0,1
6, G4,4.87,0,0
7, E4,5.26,0,0
8, D#4,5.5,0,0
9, C5,7.27,1,1
10, B4,7.64,0,0
11, C5,8.98,1,0
12, B4,9.37,0,0
13, C5,9.77,0,0
14, B4,10.0,0,0
15, C5,10.39,0,0
16, B4,10.78,0,1
17, G#4,11.35,0,0
18, E4,11.74,0,0
19, B4,12.11,1,0
20, A4,14.77,0,1
21, G4,15.19,1,0
22, F4,15.77,0,0
23, G4,15.98,0,0
24, F4,16.19,0,0
25, E4,16.54,0,0
26, D4,16.99,0,1
27, E4,17.81,0,0
28, G4,18.22,1,0
29, E4,19.02,0,0
30, C5,19.44,0,0
31, B4,21.28,1,1
32, A4,21.69,0,0
33, F#4,22.09,0,0
34, D4,22.35,0,0
35, B4,22.9,1,0
36, A4,23.12,0,0
37, B4,23.64,0,0
38, C5,24.02,0,0
39, D5,24.39,1,0
40, G4,25.24,0,0
41, G4,25.64,0,0
42, G4,26.49,0,1
43, F#4,26.89,0,0
44, F4,27.29,0,0
45, E4,27.7,1,0
46, D5,29.15,0,0
47, C5,29.54,0,1
48, G4,30.23,0,0
49, E4,30.57,0,0
50, D#4,30.88,0,0
51, C5,32.65,1,1
52, B4,33.05,0,0
53, C5,34.42,1,0
54, B4,34.8,0,0
55, C5,35.18,0,0
56, B4,35.43,0,0
57, C5,35.77,0,0
58, B4,36.19,0,1
59, G#4,36.77,0,0
60, E4,37.2,0,0
61, B4,37.59,1,0
62, A4,40.3,0,1
63, G4,40.73,1,0
64, F4,41.13,0,0
65, G4,41.5,0,0
66, F4,41.73,0,0
67, E4,42.09,0,0
68, D4,43.46,0,1
69, C4,43.89,1,0
70, E4,44.29,0,0
71, G4,44.68,0,0
72, D5,44.93,0,0
73, B4,45.29,0,0
74, A4,46.72,0,1
75, C5,47.14,1,0
76, C5,47.54,0,0
77, C5,47.91,0,0
78, A4,48.12,0,0
79, C5,48.72,1,0
80, A4,49.13,0,0
81, E4,49.51,0,0
82, G4,49.75,0,0
83, C5,50.11,0,0
84, A4,52.78,0,2
85, C5,53.21,1,0
86, C5,53.57,0,0
87, A4,53.82,0,0
88, C5,53.96,0,0
89, A4,54.19,0,0
90, C5,54.82,0,1
91, A4,55.2,0,0
92, E5,55.41,0,0
93, E5,55.78,0,0
94, C5,56.02,0,0
95, C5,57.68,1,1
96, C5,58.27,0,0
97, G4,59.53,1,0
98, F#4,59.94,0,0
99, F4,60.34,0,0
100, E4,60.74,1,0
101, D5,62.23,0,0
102, C5,62.65,0,1
103, G4,63.26,0,0
104, E4,63.63,0,0
105, D#4,63.87,0,0
106, C5,65.75,1,1
107, B4,66.12,0,0
108, C5,67.37,1,0
109, B4,67.78,0,0
110, C5,68.16,0,0
111, B4,68.39,0,0
112, C5,68.74,0,0
113, B4,69.15,0,1
114, G#4,69.73,0,0
115, E4,70.11,0,0
116, B4,70.5,1,0
117, A4,73.09,0,1
118, G4,73.54,1,0
119, F4,74.1,0,0
120, G4,74.28,0,0
121, F4,74.49,0,0
122, E4,74.85,0,0
123, D4,75.25,0,1
124, E4,76.06,0,0
125, G4,76.47,1,0
126, E4,77.24,0,0
127, C5,77.62,0,0
128, B4,79.28,1,1
129, A4,79.69,0,0
130, F#4,80.09,0,0
131, D4,80.35,0,0
132, B4,80.94,1,0
133, A4,81.16,0,0
134, B4,81.71,0,0
135, C5,82.06,0,0
136, D5,82.51,1,0
137, G4,83.36,0,0
138, G4,83.76,0,0
139, G4,84.61,0,1
140, F#4,85.01,0,0
141, F4,85.41,0,0
142, E4,85.82,1,0
143, D5,87.26,0,0
144, C5,87.65,0,1
145, G4,88.27,0,0
146, E4,88.67,0,0
147, D#4,88.92,0,0
148, C5,90.6,1,1
149, B4,91.0,0,0
150, C5,92.49,1,0
151, B4,92.87,0,0
152, C5,93.25,0,0
153, B4,93.5,0,0
154, C5,93.84,0,0
155, B4,94.26,0,1
156, G#4,94.84,0,0
157, E4,95.21,0,0
158, B4,95.6,1,0
159, A4,98.29,0,1
160, G4,98.72,1,0
161, F4,99.12,0,0
162, G4,99.49,0,0
163, F4,99.72,0,0
164, E4,100.08,0,0
165, D4,101.36,0,1
166, C4,101.75,1,0
167, E4,102.16,0,0
168, G4,102.52,0,0
169, D5,102.78,0,0
170, B4,103.13,0,0
171, A4,104.51,0,1
172, C5,104.93,1,0
173, C5,105.33,0,0
174, C5,105.67,0,0
175, A4,105.9,0,0
176, C5,106.49,1,0
177, A4,106.87,0,0
178, E4,107.28,0,0
179, G4,107.5,0,0
180, C5,107.83,0,0
181, A4,110.57,0,2
182, C5,110.97,1,0
183, C5,111.31,0,0
184, A4,111.59,0,0
185, C5,111.76,0,0
186, A4,111.94,0,0
187, C5,112.62,0,1
188, A4,113.01,0,0
189, E5,113.25,0,0
190, E5,113.61,0,0
191, C5,113.86,0,0
192, C5,115.51,1,1
193, C5,116.1,0,0
