index,note,duration,tactus,joint
0, G5,1.93,0,0
1, D#5,3.77,0,0
2, G5,4.09,0,0
3, D#6,4.46,0,0
4, D6,4.86,1,0
5, G5,6.61,0,0
6, A#5,6.9,0,0
7, D6,7.27,0,0
8, C6,7.66,1,0
9, D#5,9.39,0,0
10, G#5,9.65,0,0
11, C6,9.98,0,0
12, A#5,10.4,1,0
13, A#5,12.14,0,0
14, D6,12.57,0,0
15, A#5,13.12,0,0
16, G5,13.37,1,0
17, D#5,15.14,0,0
18, G5,15.47,0,0
19, D#6,15.83,0,0
20, D6,16.15,1,0
21, G5,17.85,0,0
22, A#5,18.2,0,0
23, D6,18.55,0,0
24, C6,18.94,1,0
25, D#5,20.56,0,0
26, G#5,20.87,0,0
27, C6,21.21,0,0
28, A#5,21.63,1,0
29, A#4,23.64,0,0
30, G5,24.38,1,0
31, A#5,24.77,0,0
32, D#5,27.29,0,0
33, C6,27.51,1,0
34, A#5,28.64,0,0
35, G5,28.81,0,0
36, A#5,29.03,0,0
37, C6,30.07,0,0
38, A#5,30.43,1,0
39, G#5,30.81,0,0
40, G#5,31.18,0,0
41, G5,31.39,0,0
42, G#5,31.65,0,0
43, A#5,33.07,0,0
44, G#5,33.47,1,0
45, G5,34.27,0,0
46, F5,34.66,0,0
47, A#4,36.19,0,0
48, G5,36.64,1,0
49, A#5,37.01,0,0
50, D#5,39.59,0,0
51, D6,39.83,1,0
52, D6,41.0,0,0
53, D#6,41.15,0,0
54, A#5,41.41,0,0
55, C6,42.64,0,0
56, A#5,43.02,1,0
57, G#5,43.42,0,0
58, G#5,43.81,0,0
59, G5,44.03,0,0
60, G#5,44.29,0,0
61, G5,45.74,0,0
62, G#5,46.12,1,0
63, G5,46.96,0,0
64, F5,47.39,0,0
65, D#5,49.01,0,0
66, D5,49.16,0,0
67, D#5,49.38,1,0
68, F5,51.35,0,0
69, F5,52.22,0,0
70, G5,52.39,0,0
71, F5,52.67,1,0
72, D5,53.47,0,0
73, C5,53.73,0,0
74, A#4,53.96,0,0
75, F5,55.67,0,0
76, G5,55.81,0,0
77, F5,55.97,0,0
78, D5,56.16,0,0
79, D#5,56.35,1,0
80, F5,58.37,0,0
81, G5,58.56,0,0
82, A#5,58.79,0,0
83, C6,59.39,0,0
84, D6,59.67,1,0
85, A#4,64.12,0,1
86, D#5,64.54,0,0
87, F5,64.93,0,0
88, G5,65.3,0,0
89, A#5,65.67,0,0
90, D6,66.07,1,0
91, A#5,67.68,0,0
92, G5,68.85,0,0
93, C6,69.22,1,0
94, F5,70.76,0,0
95, G5,71.1,0,0
96, G#5,71.46,0,0
97, F6,72.04,0,0
98, D#6,72.28,1,0
99, D6,73.0,0,0
100, C6,73.77,0,0
101, A#5,74.49,0,0
102, A#4,76.37,0,1
103, D#5,76.78,0,0
104, F5,77.16,0,0
105, G5,77.53,0,0
106, A#5,77.89,0,0
107, D6,78.26,1,0
108, A#5,79.78,0,0
109, G5,81.05,0,0
110, C6,81.3,1,0
111, D6,83.06,0,0
112, D#6,83.84,0,0
113, D#6,84.24,1,0
114, D6,84.99,0,0
115, A#5,85.39,0,0
116, A#4,86.88,0,0
117, G5,87.37,1,0
118, A#5,87.78,0,0
119, D#5,90.4,0,0
120, C6,90.72,1,0
121, A#5,91.73,0,0
122, G5,91.94,0,0
123, A#5,92.14,0,0
124, C6,93.27,0,0
125, A#5,93.66,1,0
126, G#5,94.08,0,0
127, G#5,94.46,0,0
128, G5,94.75,0,0
129, G#5,94.98,0,0
130, A#5,96.43,0,0
131, G#5,96.82,1,0
132, G5,97.73,0,0
133, F5,98.07,0,0
134, A#4,99.6,0,0
135, G5,100.04,1,0
136, A#5,100.41,0,0
137, D#5,103.11,0,0
138, D6,103.33,1,0
139, D6,104.55,0,0
140, D#6,104.69,0,0
141, A#5,104.89,0,0
142, C6,106.07,0,0
143, A#5,106.42,1,0
144, G#5,106.81,0,0
145, G#5,107.21,0,0
146, G5,107.42,0,0
147, G#5,107.71,0,0
148, G5,109.17,0,0
149, G#5,109.49,1,0
150, G5,110.28,0,0
151, F5,110.66,0,0
152, D#5,112.31,0,0
153, D5,112.48,0,0
154, D#5,112.62,1,0
155, F5,114.48,0,0
156, F5,115.23,0,0
157, G5,115.45,0,0
158, F5,115.66,1,0
159, D5,116.47,0,0
160, C5,116.67,0,0
161, A#4,116.9,0,0
162, F5,118.38,0,0
163, G5,118.54,0,0
164, F5,118.65,0,0
165, D5,118.78,0,0
166, D#5,118.91,1,0
167, F5,120.85,0,0
168, G5,121.04,0,0
169, A#5,121.26,0,0
170, C6,121.88,0,0
171, D6,122.14,1,0
172, A#4,126.47,0,1
173, D#5,126.93,0,0
174, F5,127.26,0,0
175, G5,127.59,0,0
176, A#5,128.01,0,0
177, D6,128.4,1,0
178, A#5,129.9,0,0
179, G5,131.09,0,0
180, C6,131.35,1,0
181, F5,132.84,0,0
182, G5,133.22,0,0
183, G#5,133.6,0,0
184, D#6,134.06,0,0
185, F6,134.14,0,0
186, D#6,134.37,1,0
187, D6,135.15,0,0
188, C6,135.9,0,0
189, A#5,136.66,0,0
190, A#4,138.48,0,1
191, D#5,138.93,0,0
192, F5,139.26,0,0
193, G5,139.61,0,0
194, A#5,139.99,0,0
195, D6,140.35,1,0
196, A#5,141.85,0,0
197, F6,142.57,0,0
198, D6,143.11,0,0
199, D#6,143.35,1,0
200, F6,144.47,0,0
201, G6,145.23,0,0
202, G6,145.59,1,0
203, F6,146.39,0,0
204, D#6,146.74,0,0
205, D6,147.12,0,0
206, C6,148.2,0,0
207, A#5,148.95,0,1
208, D#5,150.4,0,0
209, G5,150.75,0,0
210, D#6,151.09,0,0
211, D6,151.44,1,0
212, G5,153.34,0,0
213, A#5,153.66,0,0
214, D6,154.03,0,0
215, C6,154.37,1,0
216, D#5,156.08,0,0
217, G#5,156.43,0,0
218, C6,156.76,0,0
219, A#5,157.12,1,0
220, A#5,158.83,0,0
221, D6,159.2,0,0
222, A#5,159.7,0,0
223, G5,159.95,1,0
224, D#5,161.68,0,0
225, G5,162.0,0,0
226, D#6,162.39,0,0
227, D6,162.77,1,0
228, G5,164.48,0,0
229, A#5,164.84,0,0
230, D6,165.2,0,0
231, C6,165.57,1,0
232, D#5,167.32,0,0
233, G#5,167.68,0,0
234, C6,168.03,0,0
235, A#5,168.42,1,0
236, A#5,170.1,0,0
237, D6,170.49,0,0
238, A#5,171.07,0,0
239, G5,171.35,1,0
240, A#5,171.63,0,0
241, D#5,174.24,0,0
242, C6,174.45,1,0
243, A#5,175.52,0,0
244, G5,175.66,0,0
245, A#5,175.86,0,0
246, C6,176.89,0,0
247, A#5,177.29,1,0
248, G#5,177.67,0,0
249, G#5,178.05,0,0
250, G5,178.33,0,0
251, G#5,178.57,0,0
252, A#5,180.1,0,0
253, G#5,180.33,1,0
254, G5,181.07,0,0
255, F5,181.46,0,0
256, A#4,183.1,0,0
257, G5,183.4,1,0
258, A#5,183.65,0,0
259, D#5,186.27,0,0
260, D6,186.5,1,0
261, D6,187.59,0,0
262, D#6,187.72,0,0
263, A#5,187.95,0,0
264, C6,189.05,0,0
265, A#5,189.44,1,0
266, G#5,189.8,0,0
267, G#5,190.14,0,0
268, G5,190.4,0,0
269, G#5,190.68,0,0
270, G5,192.16,0,0
271, G#5,192.45,1,0
272, G5,193.22,0,0
273, F5,193.56,0,0
274, D#5,195.24,0,0
275, D5,195.39,0,0
276, D#5,195.56,1,0
277, F5,197.45,0,0
278, F5,198.23,0,0
279, G5,198.4,0,0
280, F5,198.67,1,0
281, D5,199.39,0,0
282, C5,199.63,0,0
283, A#4,199.87,0,0
284, F5,201.27,0,0
285, G5,201.4,0,0
286, F5,201.53,0,0
287, D5,201.66,0,0
288, D#5,201.8,1,0
289, F5,203.65,0,0
290, G5,203.84,0,0
291, A#5,204.04,0,0
292, C6,204.67,0,0
293, D6,204.91,1,0
294, A#4,208.91,0,1
295, D#5,209.33,0,0
296, F5,209.65,0,0
297, G5,210.02,0,0
298, A#5,210.38,0,0
299, D6,210.79,1,0
300, A#5,212.21,0,0
301, G5,213.49,0,0
302, C6,213.74,1,0
303, F5,215.05,0,0
304, G5,215.44,0,0
305, G#5,215.8,0,0
306, F6,216.37,0,0
307, D#6,216.6,1,0
308, D6,217.29,0,0
309, C6,218.0,0,0
310, A#5,218.74,0,0
311, A#4,220.4,0,1
312, D#5,220.83,0,0
313, F5,221.15,0,0
314, G5,221.5,0,0
315, A#5,221.87,0,0
316, D6,222.21,1,0
317, A#5,223.62,0,0
318, G5,224.87,0,0
319, C6,225.13,1,0
320, D6,226.85,0,0
321, D#6,227.54,0,0
322, D#6,227.9,1,0
323, D6,228.64,0,0
324, A#5,229.0,0,0
325, G#5,230.23,0,0
326, G5,230.73,0,0
327, G5,230.99,1,0
328, A#4,232.09,0,0
329, D#5,232.51,0,0
330, F5,232.86,0,0
331, G5,233.2,0,0
332, A#5,233.55,0,0
333, D6,233.91,1,0
334, A#5,235.29,0,0
335, G5,236.49,0,0
336, C6,236.7,1,0
337, F5,238.02,0,0
338, G5,238.37,0,0
339, G#5,238.68,0,0
340, F6,239.27,0,0
341, D#6,239.5,1,0
342, D6,240.23,0,0
343, C6,240.96,0,0
344, A#5,241.64,0,0
345, A#4,243.32,0,1
346, D#5,243.77,0,0
347, F5,244.08,0,0
348, G5,244.43,0,0
349, A#5,244.79,0,0
350, D6,245.12,1,0
351, A#5,246.33,0,0
352, F6,246.6,0,0
353, D6,247.64,0,0
354, D#6,248.0,1,0
355, F6,249.65,0,0
356, G6,250.34,0,0
357, F6,251.39,0,1
358, D#6,251.79,0,0
359, D6,252.11,0,0
360, C6,253.11,0,0
361, A#5,253.86,0,1
362, D#5,254.96,0,0
363, G5,255.34,0,0
364, D#6,255.68,0,0
365, D6,256.05,1,0
366, G5,257.7,0,0
367, A#5,258.0,0,0
368, D6,258.33,0,0
369, C6,258.68,1,0
370, D#5,260.15,0,0
371, G#5,260.5,0,0
372, C6,260.83,0,0
373, A#5,261.18,1,0
374, A#5,262.8,0,0
375, D6,263.16,0,0
376, A#5,263.63,0,0
377, G5,263.84,1,0
378, D#5,265.45,0,0
379, G5,265.85,0,0
380, D#6,266.18,0,0
381, D6,266.5,1,0
382, G5,268.12,0,0
383, A#5,268.38,0,0
384, D6,268.79,0,0
385, C6,269.11,1,0
386, D#5,270.81,0,0
387, G#5,271.14,0,0
388, C6,271.48,0,0
389, A#5,271.84,1,0
390, A#5,273.63,0,0
391, D6,273.83,0,0
392, A#5,274.37,0,0
393, G5,274.59,1,0
394, D#5,276.2,0,0
395, G5,276.53,0,0
396, D#6,276.84,0,0
397, D6,277.21,1,0
398, G5,278.84,0,0
399, A#5,279.2,0,0
400, D6,279.53,0,0
401, C6,279.9,1,0
402, D#5,281.57,0,0
403, G#5,281.94,0,0
404, C6,282.29,0,0
405, A#5,282.71,1,0
406, A#5,284.38,0,0
407, D6,284.6,0,0
408, A#5,284.98,0,0
