index,note,duration,tactus,joint
0, A#4,1.01,0,0
1, D#5,1.32,0,0
2, A#4,1.75,0,0
3, A4,2.91,1,0
4, D#5,3.21,0,0
5, A4,3.59,0,0
6, G#4,4.73,1,0
7, D#5,5.03,0,0
8, C5,5.44,0,0
9, D#5,5.68,0,0
10, D#5,6.14,0,0
11, D#5,6.39,0,0
12, A#5,6.83,0,1
13, G#5,7.52,0,0
14, F5,7.96,0,0
15, D#5,8.44,1,0
16, A#4,8.72,0,0
17, C5,8.88,0,0
18, D#5,9.15,0,0
19, A#4,9.56,0,0
20, C5,9.74,0,0
21, D#5,10.19,1,0
22, A#4,10.49,0,0
23, C5,10.65,0,0
24, D#5,10.94,0,0
25, A#4,11.32,0,0
26, C5,11.51,0,0
27, D#5,11.95,1,0
28, A#4,12.26,0,0
29, C5,12.43,0,0
30, D#5,12.7,0,0
31, F#5,13.12,0,0
32, F5,13.33,0,0
33, D#5,13.59,0,0
34, A#5,14.09,0,1
35, G5,14.27,0,0
36, D#5,14.55,0,0
37, D5,14.73,0,0
38, D#5,14.98,0,0
39, C#5,15.17,0,0
40, A#4,15.43,0,0
41, C5,15.61,1,0
42, D#5,15.9,0,0
43, F#5,16.29,0,0
44, D#5,16.74,0,0
45, F5,16.95,0,0
46, G4,17.39,1,0
47, A#4,17.65,0,0
48, C5,17.81,0,0
49, A#4,18.1,0,0
50, C#5,18.26,0,0
51, A#4,18.54,0,0
52, C5,18.72,0,0
53, A4,19.15,1,0
54, F5,19.89,0,0
55, F5,20.11,0,0
56, D#5,20.36,0,0
57, D5,20.76,0,0
58, A#5,21.26,0,1
59, G#5,21.86,0,0
60, F5,22.33,0,0
61, D#5,22.58,1,0
62, A#4,23.01,0,0
63, C5,23.21,0,0
64, D#5,23.5,0,0
65, A#4,23.9,0,0
66, C5,24.11,0,0
67, D#5,24.53,1,0
68, A#4,24.79,0,0
69, C5,24.97,0,0
70, D#5,25.26,0,0
71, A#4,25.64,0,0
72, C5,25.88,0,0
73, D#5,26.3,1,0
74, A#4,26.6,0,0
75, C5,26.78,0,0
76, D#5,27.03,0,0
77, F#5,27.47,0,0
78, F5,27.68,0,0
79, D#5,27.93,0,0
80, A#5,28.35,0,1
81, G5,28.57,0,0
82, D#5,28.8,0,0
83, D5,28.98,0,0
84, D#5,29.22,0,0
85, C#5,29.41,0,0
86, A#4,29.69,0,0
87, C5,29.88,1,0
88, D#5,30.15,0,0
89, F#5,30.54,0,0
90, D#5,31.04,0,0
91, F5,31.26,0,0
92, G4,31.68,1,0
93, A#4,31.95,0,0
94, C5,32.11,0,0
95, A#4,32.38,0,0
96, C#5,32.58,0,0
97, A#4,32.84,0,0
98, C5,33.02,0,0
99, A4,33.51,1,0
100, D5,34.52,0,0
101, A#4,34.78,0,0
102, C5,34.95,0,0
103, D#5,35.21,0,0
104, D#5,35.67,0,1
105, D5,36.32,0,0
106, C5,36.78,0,0
107, B4,37.21,1,0
108, C5,37.48,0,0
109, D5,37.68,0,0
110, G4,37.93,0,0
111, C5,39.04,1,0
112, D5,39.34,0,0
113, D#5,39.5,0,0
114, G4,39.77,0,0
115, B4,41.06,0,1
116, C5,41.51,0,0
117, D5,41.71,0,0
118, B4,41.95,0,0
119, C5,42.58,1,0
120, B4,42.86,0,0
121, C5,43.03,0,0
122, D5,43.28,0,0
123, D#5,43.47,0,0
124, D5,44.45,1,0
125, D#5,44.74,0,0
126, D5,44.87,0,0
127, D#5,45.02,0,0
128, A#4,45.26,0,0
129, D#5,46.27,1,0
130, F5,46.56,0,0
131, G5,46.74,0,0
132, A#4,46.97,0,0
133, F5,48.27,0,1
134, D#5,48.74,0,0
135, D5,48.94,0,0
136, C5,49.38,0,0
137, A#4,49.83,1,0
138, A#4,50.13,0,0
139, G#4,50.3,0,0
140, G4,50.75,0,0
141, F4,51.21,0,0
142, D#5,51.67,1,0
143, A#4,51.95,0,0
144, C5,52.11,0,0
145, D#5,52.38,0,0
146, A#4,52.8,0,0
147, C5,53.01,0,0
148, D#5,53.29,1,0
149, A#4,53.69,0,0
150, C5,53.89,0,0
151, D#5,54.11,0,0
152, A#4,54.55,0,0
153, C5,54.78,0,0
154, D#5,55.2,1,0
155, A#4,55.49,0,0
156, C5,55.68,0,0
157, D#5,55.96,0,0
158, F#5,56.35,0,0
159, F5,56.63,0,0
160, D#5,56.84,0,0
161, A#5,57.32,0,1
162, G5,57.55,0,0
163, D#5,57.78,0,0
164, D5,57.96,0,0
165, D#5,58.21,0,0
166, C#5,58.4,0,0
167, A#4,58.66,0,0
168, C5,58.84,1,0
169, D#5,59.07,0,0
170, F#5,59.51,0,0
171, D#5,59.97,0,0
172, F5,60.15,0,0
173, G4,60.59,1,0
174, A#4,60.83,0,0
175, C5,61.01,0,0
176, A#4,61.28,0,0
177, C#5,61.7,0,0
178, A#4,61.93,0,0
179, C5,62.2,0,0
180, A4,62.38,1,0
181, F5,63.21,0,0
182, F5,63.41,0,0
183, D#5,63.66,0,0
184, D5,64.1,0,0
185, A#5,64.6,0,1
186, G#5,65.16,0,0
187, F5,65.6,0,0
188, D#5,65.87,1,0
189, A#4,66.3,0,0
190, C5,66.48,0,0
191, D#5,66.76,0,0
192, A#4,67.19,0,0
193, C5,67.4,0,0
194, D#5,67.82,1,0
195, A#4,68.11,0,0
196, C5,68.32,0,0
197, D#5,68.55,0,0
198, A#4,68.96,0,0
199, C5,69.2,0,0
200, D#5,69.58,1,0
201, A#4,69.89,0,0
202, C5,70.07,0,0
203, D#5,70.32,0,0
204, F#5,70.76,0,0
205, F5,70.97,0,0
206, D#5,71.22,0,0
207, A#5,71.66,0,1
208, G5,71.92,0,0
209, D#5,72.15,0,0
210, D5,72.33,0,0
211, D#5,72.54,0,0
212, C#5,72.77,0,0
213, A#4,73.0,0,0
214, C5,73.21,1,0
215, D#5,73.47,0,0
216, F#5,73.88,0,0
217, D#5,74.36,0,0
218, F5,74.56,0,0
219, G4,75.0,1,0
220, A#4,75.26,0,0
221, C5,75.42,0,0
222, A#4,75.66,0,0
223, C#5,75.89,0,0
224, A#4,76.12,0,0
225, C5,76.33,0,0
226, A4,76.76,1,0
227, D5,77.74,0,0
228, A#4,77.99,0,0
229, C5,78.2,0,0
230, D#5,78.46,0,0
231, D#5,78.92,0,1
232, D5,79.57,0,0
233, C5,80.03,0,0
234, B4,80.51,1,0
235, C5,80.81,0,0
236, D5,80.99,0,0
237, G4,81.22,0,0
238, C5,82.32,1,0
239, D5,82.64,0,0
240, D#5,82.8,0,0
241, G4,83.09,0,0
242, B4,84.31,0,1
243, C5,84.73,0,0
244, D5,84.91,0,0
245, B4,85.15,0,0
246, C5,85.83,1,0
247, B4,86.11,0,0
248, C5,86.28,0,0
249, D5,86.53,0,0
250, D#5,86.72,0,0
251, D5,87.63,1,0
252, D#5,87.94,0,0
