index, note, duration, tactus, joint
0, E4,1.5,0,0
1, C5,2.01,1,0
2, B4,3.12,0,0
3, A4,3.37,0,0
4, A4,3.68,1,0
5, G#4,4.85,0,0
6, B4,5.13,0,0
7, E4,5.49,1,0
8, E4,8.37,0,1
9, C5,8.74,1,0
10, B4,9.82,0,0
11, A4,10.06,0,0
12, A4,10.34,1,0
13, G4,11.34,0,0
14, B4,11.61,0,0
15, E4,11.94,1,0
16, E4,14.26,0,1
17, F4,14.56,0,0
18, G4,14.82,0,0
19, A4,15.17,1,0
20, D4,15.84,0,0
21, D4,16.12,0,0
22, D4,17.96,0,1
23, E4,18.3,0,0
24, F4,18.56,0,0
25, G4,18.95,1,0
26, C4,19.6,0,0
27, C4,19.96,0,0
28, C4,21.94,0,1
29, D4,22.26,0,0
30, E4,22.56,0,0
31, F4,22.92,1,0
32, B3,23.56,0,0
33, B3,23.9,0,0
34, B3,25.7,0,1
35, C4,26.01,0,0
36, D4,26.27,0,0
37, E4,26.64,1,0
38, E4,29.94,0,1
39, C5,30.32,1,0
40, B4,31.52,0,0
41, A4,31.79,0,0
42, A4,32.09,1,0
43, G#4,33.2,0,0
44, B4,33.45,0,0
45, E4,33.82,1,0
46, E4,36.75,0,1
47, A#4,37.16,1,0
48, A4,38.19,0,0
49, G4,38.52,0,0
50, G4,38.82,1,0
51, F4,39.9,0,0
52, E4,40.17,0,0
53, A4,40.55,1,0
54, D4,43.47,0,1
55, D4,43.83,1,0
56, E4,44.91,0,0
57, F4,45.19,0,0
58, B4,45.59,1,0
59, C4,47.38,1,0
60, D4,48.69,0,0
61, E4,48.98,0,0
62, A4,49.3,1,0
63, G#4,50.76,0,0
64, G#4,51.1,1,0
65, E4,51.45,0,0
66, E4,53.32,0,1
67, E4,53.66,0,0
68, G#4,53.94,0,0
69, B4,54.21,0,0
70, A4,54.54,1,0
71, A4,57.16,0,1
72, B4,57.44,0,0
73, C5,57.74,1,0
74, D5,58.09,0,0
75, C5,58.31,0,0
76, B4,58.64,0,0
77, A4,58.95,0,0
78, B4,59.23,0,0
79, C5,59.53,1,0
80, D5,59.85,0,0
81, C5,60.1,0,0
82, B4,60.41,0,0
83, A4,60.7,0,0
84, B4,60.94,0,0
