index,note,duration,tactus,joint
0, G#5,2.15,0,0
1, G5,2.75,1,0
2, F5,5.28,0,1
3, G5,5.76,0,0
4, G#5,6.25,0,0
5, D#5,6.78,1,0
6, D#5,9.88,0,1
7, F5,10.96,1,0
8, D#5,13.43,0,1
9, D#5,13.94,0,0
10, F5,14.42,0,0
11, G#4,14.94,1,0
12, A#4,17.89,0,1
13, C#5,18.91,1,0
14, C5,19.4,0,0
15, A#4,19.88,0,0
16, G#4,20.37,0,0
17, C5,20.85,1,0
18, D5,22.31,0,0
19, F5,22.84,1,0
20, D#5,23.65,0,0
21, D#5,23.87,0,0
22, F5,26.18,0,1
23, G#5,26.7,1,0
24, G5,27.2,0,0
25, F5,27.66,0,0
26, D#5,28.14,0,0
27, F5,28.62,1,0
28, G5,29.85,0,0
29, G#5,30.26,0,0
30, C6,30.55,1,0
31, A#5,31.29,0,0
32, A#5,31.48,0,0
33, C6,33.34,0,1
34, C#6,34.33,1,0
35, C#6,36.75,0,1
36, C#6,37.22,0,0
37, C6,37.69,0,0
38, D#6,38.19,1,0
39, C#6,39.58,0,1
40, C6,40.11,0,0
41, A#5,40.5,0,0
42, G#5,40.87,0,0
43, C6,41.15,1,0
44, C6,41.9,0,0
45, A#5,43.53,0,1
46, G#5,44.02,0,0
47, G5,44.51,0,0
48, A#5,44.97,1,0
49, G#5,47.9,0,1
50, G5,48.85,1,0
51, F5,51.17,0,1
52, G5,51.66,0,0
53, G#5,52.12,0,0
54, D#5,52.62,1,0
55, D#5,54.94,0,1
56, D#5,55.46,0,0
57, C#5,55.91,0,0
58, E5,56.43,1,0
59, D#5,58.03,1,0
60, E5,58.77,0,0
61, E5,59.27,0,0
62, D#5,59.77,0,0
63, D#5,60.23,1,0
